test_case,filter_size,method_name,total_time,cumulative_time,per_call_time
bloom,500,add,2.8340000000000003e-06,2.0236e-05,2.0236e-05
bloom,500,add,3.08e-06,2.4284e-05,2.4284e-05
bloom,500,add,3.209e-06,2.2486e-05,2.2486e-05
bloom,500,add,3.4260000000000003e-06,2.2227000000000003e-05,2.2227000000000003e-05
bloom,500,add,2.7820000000000002e-06,1.9536e-05,1.9536e-05
bloom,500,add,3.0760000000000003e-06,2.2145000000000002e-05,2.2145000000000002e-05
bloom,500,add,3.373e-06,3.147e-05,3.147e-05
bloom,500,add,2.9140000000000004e-06,1.9777e-05,1.9777e-05
bloom,500,add,2.544e-06,2.3478e-05,2.3478e-05
bloom,500,add,2.605e-06,2.3307000000000002e-05,2.3307000000000002e-05
bloom,500,add,2.487e-06,1.7283e-05,1.7283e-05
bloom,500,add,2.577e-06,1.6553000000000002e-05,1.6553000000000002e-05
bloom,500,add,2.3660000000000003e-06,1.6765e-05,1.6765e-05
bloom,500,add,2.33e-06,1.6279e-05,1.6279e-05
bloom,500,add,2.3430000000000003e-06,1.6624000000000002e-05,1.6624000000000002e-05
bloom,500,add,2.277e-06,1.6579000000000002e-05,1.6579000000000002e-05
bloom,500,add,2.561e-06,1.7343e-05,1.7343e-05
bloom,500,add,2.194e-06,1.6113e-05,1.6113e-05
bloom,500,add,2.3040000000000003e-06,1.6657e-05,1.6657e-05
bloom,500,add,2.346e-06,1.6386000000000002e-05,1.6386000000000002e-05
bloom,500,add,2.5510000000000002e-06,1.6692000000000002e-05,1.6692000000000002e-05
bloom,500,add,3.095e-06,2.0415e-05,2.0415e-05
bloom,500,add,2.511e-06,1.8211000000000002e-05,1.8211000000000002e-05
bloom,500,add,2.8670000000000002e-06,1.9556e-05,1.9556e-05
bloom,500,add,2.391e-06,1.9791e-05,1.9791e-05
bloom,500,add,2.3610000000000003e-06,1.6803e-05,1.6803e-05
bloom,500,add,2.3310000000000002e-06,1.6828000000000002e-05,1.6828000000000002e-05
bloom,500,add,2.3600000000000003e-06,1.6669000000000003e-05,1.6669000000000003e-05
bloom,500,add,2.159e-06,1.7007e-05,1.7007e-05
bloom,500,add,2.46e-06,1.7389000000000002e-05,1.7389000000000002e-05
bloom,500,add,2.463e-06,1.6494e-05,1.6494e-05
bloom,500,add,2.099e-06,1.6788000000000003e-05,1.6788000000000003e-05
bloom,500,add,2.3040000000000003e-06,1.8846000000000002e-05,1.8846000000000002e-05
bloom,500,add,2.582e-06,1.7489e-05,1.7489e-05
bloom,500,add,2.2080000000000003e-06,1.6223e-05,1.6223e-05
bloom,500,add,2.5070000000000003e-06,1.7985e-05,1.7985e-05
bloom,500,add,2.3660000000000003e-06,1.7542000000000002e-05,1.7542000000000002e-05
bloom,500,add,3.4310000000000003e-06,2.1546e-05,2.1546e-05
bloom,500,add,2.65e-06,2.2611e-05,2.2611e-05
bloom,500,add,2.3820000000000002e-06,1.7126000000000002e-05,1.7126000000000002e-05
bloom,500,add,2.2e-06,1.6827e-05,1.6827e-05
bloom,500,add,2.375e-06,1.6942e-05,1.6942e-05
bloom,500,add,2.447e-06,1.6837e-05,1.6837e-05
bloom,500,add,2.176e-06,1.6802e-05,1.6802e-05
bloom,500,add,2.6190000000000003e-06,1.7544e-05,1.7544e-05
bloom,500,add,2.492e-06,1.6864e-05,1.6864e-05
bloom,500,add,2.446e-06,1.732e-05,1.732e-05
bloom,500,add,2.475e-06,1.6934e-05,1.6934e-05
bloom,500,add,2.498e-06,1.6686000000000003e-05,1.6686000000000003e-05
bloom,500,add,2.5810000000000004e-06,1.7337e-05,1.7337e-05
bloom,500,add,2.308e-06,1.6605e-05,1.6605e-05
bloom,500,add,2.443e-06,1.6517e-05,1.6517e-05
bloom,500,add,2.5910000000000003e-06,1.8058000000000002e-05,1.8058000000000002e-05
bloom,500,add,3.176e-06,2.1987e-05,2.1987e-05
bloom,500,add,2.52e-06,1.7060000000000003e-05,1.7060000000000003e-05
bloom,500,add,2.3830000000000003e-06,1.7166e-05,1.7166e-05
bloom,500,add,2.2310000000000003e-06,1.6196000000000002e-05,1.6196000000000002e-05
bloom,500,add,2.385e-06,1.6868000000000002e-05,1.6868000000000002e-05
bloom,500,add,2.2750000000000002e-06,1.6638000000000002e-05,1.6638000000000002e-05
bloom,500,add,2.3720000000000003e-06,1.6545e-05,1.6545e-05
bloom,500,add,2.19e-06,1.6471000000000002e-05,1.6471000000000002e-05
